,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
219,3.7778558254241945,0.06788499158475131,0.053577423095703125,0.005976356657472429,100,,1,linear,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8866156927887434,0.9053400429939419,0.8953366230213017,0.9224887629470393,0.8783114992721981,0.8976185242046448,0.01534393177407001,98
228,3.7134422779083254,0.02875493043915837,0.05469412803649902,0.004827622453420187,100,,1000,linear,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 1000, 'model__kernel': 'linear'}",0.8866156927887434,0.9053400429939419,0.8953366230213017,0.9224887629470393,0.8783114992721981,0.8976185242046448,0.01534393177407001,98
7,1.5084758758544923,0.013008921179783126,0.13635473251342772,0.0050939718661791415,0.001,,0.1,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8909639437170217,0.8994161618135627,0.8611368966191129,0.9181282978307601,0.9127486656962639,0.8964787931353444,0.020107218380113936,105
215,1.6495275497436523,0.055035228823408076,0.03250899314880371,0.0021891089649412154,100,,0.01,sigmoid,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.8893028141489154,0.9005032245456321,0.8753786398280243,0.908515731874145,0.9018558951965066,0.8951112611186447,0.011639223289176048,106
173,1.8539238452911377,0.03251377068508494,0.03744597434997558,0.0010451586271952192,10,,0.01,sigmoid,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.8977916748094588,0.8953976939613055,0.8652775063513778,0.9079783076021106,0.9040271712760795,0.8940944708000664,0.015081144593325983,107
199,2.1733845710754394,0.021809385785514848,0.17023177146911622,0.00765840467504983,10,balanced,1,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'rbf'}",0.9025796365057651,0.8995871604455735,0.8827560093804963,0.8960084033613445,0.8876394953905871,0.8937141410167533,0.007420713922849143,108
127,1.6556798934936523,0.02962133364509782,0.1502453327178955,0.007074148151775162,1,,0.001,rbf,"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.8951167676372875,0.8981214578854798,0.8394933554817275,0.9135968340824703,0.9212032993692383,0.8935063428912408,0.02867767353751668,109
178,2.241366672515869,0.053491809611977026,0.1889486789703369,0.014113086651986555,10,,1,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.9033369161618136,0.8867622630447528,0.875109927692007,0.9017612859097128,0.8956331877729258,0.8925207161162424,0.010472450798905724,110
254,2.2875435829162596,0.16507188094087125,0.0477564811706543,0.0020109068088623875,1000,,0.001,sigmoid,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8850889192886456,0.895532050029314,0.8878126832128199,0.9137678327144811,0.8796700630761766,0.8923743096642873,0.011856958993703542,111
76,5.4961763381958,0.07598448707950657,0.4780322551727295,0.015188302308939389,0.01,balanced,10,rbf,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8938709204612078,0.8939197772132109,0.8684165526675787,0.9011994332616767,0.9013221737020862,0.8917457714611521,0.012120843288482109,112
