,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
353,0.7548848628997803,0.018651527701091915,0.007997274398803711,1.382005381220764e-06,1,0.1,10,50,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1}",0.9320718098010674,0.9421291772522963,0.9438513777604065,0.917248876294704,0.9311486222395935,0.9332899726696136,0.009519042919263842,112
383,0.41582608222961426,0.01823408220834198,0.006398534774780274,0.003199267584166701,1,0.2,8,30,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9374696749150897,0.9447674418604652,0.9351915184678523,0.9198871409028728,0.9290966386554622,0.9332824829603485,0.00836705151596016,113
304,1.4809774875640869,0.08529457286095243,0.012793540954589844,0.003919349129183046,1,0.05,10,100,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.9309558466763708,0.9470759233926129,0.933139534883721,0.9195573578268516,0.9356312292358804,0.9332719784030873,0.008827092236714405,114
362,0.5549661636352539,0.01932346130170807,0.008001375198364257,7.2526289079917305e-06,1,0.1,12,30,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.9310771470160116,0.9464957494625756,0.9354480164158687,0.917297733046707,0.9359732264999023,0.933258374488213,0.009454024306488824,115
284,1.1771038055419922,0.007835862463479051,0.015993213653564452,1.8381438510319124e-06,1,0.05,8,100,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.9296700630761766,0.949030193472738,0.934251025991792,0.9227452608950557,0.9305867695915575,0.9332566626054639,0.008720947487190602,116
339,1.0267695426940917,0.043682422213505066,0.00799713134765625,3.215028349120631e-06,1,0.1,8,100,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1}",0.937239204269772,0.9483461989446941,0.9333960328317374,0.9163938831346491,0.9308554817275747,0.9332461601816855,0.010331433769676091,117
331,0.6733187675476074,0.02339523709464161,0.007997941970825196,1.2100770512055892e-06,1,0.1,8,50,0,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 0, 'subsample': 1}",0.9308224163027656,0.9539036544850499,0.9343609536837991,0.9201069962868869,0.92703244088333,0.9332452923283663,0.011358673350737546,118
77,0.43341841697692873,0.01174939340769437,0.00799422264099121,3.666998659082485e-06,0.8,0.05,10,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9296397379912664,0.9448162986124683,0.9344892026578073,0.9289806038694547,0.9282416454954074,0.9332334977252807,0.00619126602771099,119
275,0.34065937995910645,0.0164667799832581,0.009596014022827148,0.003199268486762434,1,0.05,8,30,2,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9323326055312954,0.9461781805745555,0.9307272327535664,0.9237590384991206,0.9330906781317179,0.933217547098051,0.007272445089154903,120
370,0.8076613903045654,0.027700370451439613,0.007996320724487305,2.977847098540496e-06,1,0.1,12,50,2,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 0.8}",0.9359776807375059,0.9420314637482899,0.9325898964236857,0.9146228258745358,0.9408344733242133,0.9332112680216461,0.009894224933516362,121
