,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
528,0.44383063316345217,0.02871672192179572,0.06833848953247071,0.004479142606616568,1,,3,1000,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 1000, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
516,0.4476195812225342,0.010110162516472824,0.06643857955932617,0.00408736436291233,1,,3,1,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
512,0.44721474647521975,0.019550044570421928,0.06662425994873047,0.002147122731679309,1,,3,0.1,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
540,0.43266005516052247,0.011720864797537941,0.08273901939392089,0.013392694419293145,1,,4,0.1,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
532,0.4364619731903076,0.009638804346969601,0.062249040603637694,0.0038387798642551354,1,,4,0.001,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.001, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
576,0.4446144104003906,0.009281114989424726,0.0676053524017334,0.0050150475543161155,1,,5,10,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 10, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
584,0.45528373718261717,0.013367523288459119,0.07327404022216796,0.004746408928068575,1,,5,1000,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 1000, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
580,0.4315783500671387,0.008560834516387446,0.06389579772949219,0.0023239178987802204,1,,5,100,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 100, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
556,0.47016315460205077,0.03391409091934172,0.06545042991638184,0.005335150029152787,1,,4,1000,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 1000, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
572,0.44982151985168456,0.018068777260191515,0.06570544242858886,0.005460854083432643,1,,5,1,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
568,0.43203415870666506,0.0185603839782997,0.06260843276977539,0.005624612627807263,1,,5,0.1,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
564,0.44447021484375,0.012422044122547366,0.06995458602905273,0.0034918894273367686,1,,5,0.01,linear,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8965506477290464,0.899094740127985,0.8963945684407679,0.9068206648977681,0.9001843879647788,0.8998090018320692,0.00379709705753639,151
931,0.7625070095062256,0.014534992749888101,0.11283340454101562,0.006918057967980729,100,balanced,3,0.01,poly,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.9079132199157172,0.8635242703293274,0.9142344310909941,0.9082175745278601,0.8866678125805721,0.8961114616888942,0.01879036473541556,172
431,0.6640456199645997,0.01759645675685357,0.11135482788085938,0.006521370790033484,0.1,balanced,3,0.1,poly,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.9078742000936475,0.8635086624004995,0.9142266271265803,0.9082097705634463,0.8835582189372689,0.8954754958242885,0.019138414110648386,173
347,0.4897061824798584,0.015679651172770315,0.07411470413208007,0.0046212992605299975,0.1,,3,0.1,poly,"{'model__C': 0.1, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.921094115810832,0.8659122834399875,0.8896831590447948,0.9034571562353674,0.8901524325929167,0.8940598294247796,0.018143151491241898,174
847,0.6193881034851074,0.011312743120526197,0.08889703750610352,0.004834340495871856,100,,3,0.01,poly,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.9210785078820041,0.8659356953332293,0.8896363352583112,0.9033400967691586,0.8900586760006564,0.8940098622486718,0.018125469989648518,175
9,0.27675228118896483,0.014874531659271164,0.16494412422180177,0.012504539366768864,0.001,,3,0.1,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9115186514749494,0.87309973466521,0.8986382082097707,0.9050413610113938,0.8801361033197647,0.8936868117362178,0.014689220984544199,176
65,0.31144022941589355,0.023737242005514705,0.18413009643554687,0.006742090420158442,0.001,,5,0.1,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9115186514749494,0.87309973466521,0.8986382082097707,0.9050413610113938,0.8801361033197647,0.8936868117362178,0.014689220984544199,176
37,0.3060319900512695,0.009504248502604873,0.20766043663024902,0.01069369696921379,0.001,,4,0.1,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9115186514749494,0.87309973466521,0.8986382082097707,0.9050413610113938,0.8801361033197647,0.8936868117362178,0.014689220984544199,176
1122,0.5966385841369629,0.032421883732550554,0.0846933364868164,0.0038335744803988563,1000,balanced,4,0.001,sigmoid,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8836663024816606,0.8769626970501014,0.9011159669111909,0.8988528172311534,0.8984655171066716,0.8918126601561557,0.009667061409083211,179
1094,0.5966226577758789,0.029391856785279714,0.08692278861999511,0.00418461865507823,1000,balanced,3,0.001,sigmoid,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8836663024816606,0.8769626970501014,0.9011159669111909,0.8988528172311534,0.8984655171066716,0.8918126601561557,0.009667061409083211,179
