,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
511,0.7901782035827637,0.0518270109414352,0.013747549057006836,0.006231254429480522,0.8,0.13,9,22,5,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 9, 'n_estimators': 22, 'reg_lambda': 5, 'subsample': 1}",0.9414658224400871,0.9349047530666307,0.933622420571313,0.9406077581115968,0.9338586397151871,0.936891878780963,0.0034224927937405868,502
103,0.5676058769226074,0.026521941706608067,0.010959863662719727,0.0006919760720402469,0.8,0.05,9,21,5,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 21, 'reg_lambda': 5, 'subsample': 1}",0.9373042619825709,0.9425396932525689,0.9344913695648505,0.9327112895877976,0.937401926873302,0.936889708252218,0.0033336995728417357,503
600,0.30469369888305664,0.04991670077986432,0.020601749420166016,0.019122597933011562,0.8,0.2,5,15,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 15, 'reg_lambda': 0, 'subsample': 0.8}",0.9397637527233116,0.9314795754804528,0.9434761334300708,0.930821536436803,0.9389036057165032,0.9368889207574282,0.004935365314355473,504
880,0.5831329345703125,0.07241738178228735,0.006598663330078125,0.0016221606915870414,1,0.05,9,15,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 15, 'reg_lambda': 0, 'subsample': 0.8}",0.938887186819172,0.9418225994229503,0.9342973324109538,0.9367776334216342,0.932635362005838,0.9368840228161097,0.003260540125835581,505
236,0.3129927635192871,0.03220078559883053,0.007256650924682617,0.0021624425311409404,0.8,0.1,5,30,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 0.8}",0.9342915985838782,0.9470616025781633,0.928763055325898,0.9377056372011405,0.9365920326657331,0.9368827852709627,0.005950028688635311,506
115,1.0436052799224853,0.18072175130855142,0.014171218872070313,0.0029466092238252172,0.8,0.05,9,30,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 1}",0.9399935321350763,0.9381274571009163,0.9319604501661971,0.941603253075067,0.9326944167918065,0.9368758218538126,0.0038802149750075004,507
1295,0.46768965721130373,0.012771856259501486,0.006971025466918945,0.0036326934034961855,1,0.13,9,20,5,1,"{'colsample_bytree': 1, 'learning_rate': 0.13, 'max_depth': 9, 'n_estimators': 20, 'reg_lambda': 5, 'subsample': 1}",0.941057325708061,0.9419575817908785,0.9241230364283666,0.9482511346955304,0.9289824016737813,0.9368742960593235,0.008917921365360435,508
453,0.5093592643737793,0.05123652830305708,0.009181499481201172,0.002666021391108619,0.8,0.13,8,20,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 8, 'n_estimators': 20, 'reg_lambda': 2, 'subsample': 1}",0.9407849945533768,0.9360352303980293,0.9332849646514924,0.9405740125196147,0.9336392933673039,0.9368636990979635,0.003256792184852163,509
478,0.5412145137786866,0.06582595492365573,0.008732175827026368,0.0018592680458703569,0.8,0.13,8,30,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.13, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 5, 'subsample': 0.8}",0.9309810729847495,0.94016906541583,0.9321207417281118,0.9455346145409756,0.9355121737223075,0.9368635336783949,0.005385866251950091,510
1375,1.0167054653167724,0.03772115952799179,0.0066378116607666016,0.0017715747668690825,1,0.13,15,20,5,1,"{'colsample_bytree': 1, 'learning_rate': 0.13, 'max_depth': 15, 'n_estimators': 20, 'reg_lambda': 5, 'subsample': 1}",0.9424615332244008,0.9346179155347834,0.9302309885771172,0.943678606981963,0.93332714664147,0.9368632381919471,0.0052786799724146944,511
